n_test,n_finite,R2,RMSE,MAE,Pearson,Spearman,Top20_precision,valid_prediction,model,evaluation,target_scale,repeat,split_name,n_support,n_query
21,21,-1.0126600825919746e+41,7.882138854381493e+19,7.860628487410021e+19,0.5064913135306259,0.44155844155844154,0.2,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,11,random_repeated,83,21
21,21,-3.21334902863544e+16,56790325.890237585,56790323.20558609,0.1289491742356853,0.07644707871564382,0.0,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,11,random_repeated,83,21
21,21,-2.639360623348306e+54,4.024033636491505e+26,4.014626454613305e+26,0.5087804067524471,0.44155844155844154,0.2,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,11,random_repeated,83,21
21,21,-1.6701293612422361e+50,4.0942133135733057e+24,4.082021869611996e+24,0.5084253577050816,0.43506493506493504,0.2,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,11,random_repeated,83,21
21,21,0.13497323065240863,0.23037057666422114,0.18196132495274714,0.4589828590151464,0.48571428571428565,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,11,random_repeated,83,21
21,21,0.24315504839936464,0.27561247421915663,0.21916937468839542,0.769953276347336,0.7532467532467532,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,11,random_repeated,83,21
21,21,-6.087235034609381e+19,1715428096.5144465,1715428096.5144467,,,0.0,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,12,random_repeated,83,21
21,21,-4.09611530760456e+23,198117097472.5325,198117097472.5325,,,0.0,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,12,random_repeated,83,21
21,21,-7.339828776415174e+35,1.8836727193365846e+17,1.8798993890709466e+17,0.5039273220455,0.4332575740035293,0.2,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,12,random_repeated,83,21
21,21,-1.7175388575586013e+40,4.056851917797728e+19,4.048890551625548e+19,0.5406584933694905,0.47482951513730126,0.2,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,12,random_repeated,83,21
21,21,-1.4732055695619888e+56,2.668665613736442e+27,2.662133065751556e+27,0.5440026031279582,0.4839233772603138,0.2,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,12,random_repeated,83,21
21,21,-6.735434732790398e+53,2.5404969970174103e+26,2.5340573690822755e+26,0.5560051898412077,0.4800260077790227,0.2,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,12,random_repeated,83,21
21,21,-0.5882558240291513,0.2770911862642655,0.21837383377205893,0.6068130348420631,0.47612863829773155,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,12,random_repeated,83,21
21,21,0.3760958909195249,0.24450896809561531,0.2263087440459501,0.6582627045606565,0.5969470922177562,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,12,random_repeated,83,21
21,21,-1.0832399691739549e+23,68085071872.51784,68085071872.51786,,,0.6,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,13,random_repeated,83,21
21,21,-3.484990812641792e+23,161086439424.5357,161086439424.5357,,,0.6,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,13,random_repeated,83,21
21,21,-6.459847574511789e+36,5.257759266386895e+17,5.2498602248217434e+17,0.658416862763764,0.7090909090909091,0.4,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,13,random_repeated,83,21
21,21,-1.1648942753215344e+41,9.313253384918802e+19,9.300923796252847e+19,0.7447664259184275,0.7246753246753247,0.4,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,13,random_repeated,83,21
21,21,-8.31350854349563e+25,1886173921280.5178,1886173921280.5183,,,0.6,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,13,random_repeated,83,21
21,21,-6.8971520509271e+25,2266173014016.5356,2266173014016.535,,,0.6,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,13,random_repeated,83,21
21,21,-0.6823491045444083,0.2683166498910929,0.2109354952807111,0.46731349144135326,0.08961038961038961,0.0,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,13,random_repeated,83,21
21,21,0.43370948171339685,0.20534200982856013,0.18209325149655342,0.8937235139230308,0.8103896103896104,0.6,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,13,random_repeated,83,21
21,21,-2.0243782519613762e+45,9.932683853770284e+21,9.920341126658723e+21,0.5195293482642829,0.40129870129870127,0.4,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,14,random_repeated,83,21
21,21,-6167527591275.669,742947.0359432878,742947.0359432275,,,0.4,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,14,random_repeated,83,21
21,21,-4.644615528329809e+34,4.7576847962073096e+16,4.731463554254517e+16,-0.10799885405346632,-0.22467532467532467,0.0,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,14,random_repeated,83,21
21,21,-1.5296112971777823e+39,1.1700188135002946e+19,1.168190851914884e+19,0.5304379697392325,0.4922077922077922,0.4,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,14,random_repeated,83,21
21,21,-9.193326425125333e+52,6.693559395529681e+25,6.68555410574147e+25,0.5301651063056201,0.47792207792207797,0.4,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,14,random_repeated,83,21
21,21,-1.205691941503918e+54,3.284887367114175e+26,3.280760170962912e+26,0.48469901521810865,0.42207792207792205,0.6,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,14,random_repeated,83,21
21,21,0.3775450882771355,0.1741705527842466,0.15238330642668996,0.7399874044284566,0.7168831168831169,0.6,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,14,random_repeated,83,21
21,21,0.2983048188842281,0.2505973942812552,0.2089051916485741,0.6933129631032634,0.6454545454545455,0.6,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,14,random_repeated,83,21
21,21,-1.173808022920195e+46,2.9435064125691137e+22,2.9354962806902345e+22,0.6988876585563315,0.7314063393222998,0.4,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,15,random_repeated,83,21
21,21,-631418791954409.8,8710595.462454218,8710595.462454213,,,0.8,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,15,random_repeated,83,21
21,21,-1.7654560898585856e+17,114154992.45041882,114154992.45041882,,,0.8,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,15,random_repeated,83,21
21,21,-8.948880521453101e+35,3.27924185173267e+17,3.2720804617650176e+17,0.5198382141597253,0.6040922696001233,0.4,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,15,random_repeated,83,21
21,21,-5.347801836998759e+54,6.28281254949937e+26,6.26701048327149e+26,0.713092563294611,0.7262098466805784,0.4,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,15,random_repeated,83,21
21,21,-1.5166180598051492e+26,4269010321408.4624,4269010321408.4614,,,0.8,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,15,random_repeated,83,21
21,21,-0.2026076913490642,0.29793974246565186,0.2500047765287967,0.6152249517118195,0.5599220821454907,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,15,random_repeated,83,21
21,21,-0.05107452440834437,0.3553905276095271,0.2778908269302476,0.7138703374166148,0.7158168613971353,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,15,random_repeated,83,21
21,21,-1.5249078704504564e+22,28962652160.531616,28962652160.531616,,,0.0,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,16,random_repeated,83,21
21,21,-1.750757759759598e+22,38777765888.53983,38777765888.53983,,,0.0,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,16,random_repeated,83,21
21,21,-6.5649267846344136e+16,60094049.30449119,60094049.293520145,-0.10116993509792375,-0.11078234188139947,0.0,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,16,random_repeated,83,21
21,21,-1.6370090866534316e+18,374968943.77826047,374968943.7779304,-0.12367042450585161,-0.11078234188139947,0.0,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,16,random_repeated,83,21
21,21,-2.1662387782631157e+54,3.4519912678934334e+26,3.4435120782239456e+26,0.6580317156481071,0.7701298701298702,0.6,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,16,random_repeated,83,21
